M1.CO2_At Time [a],M1.CO2_At CO2 [mol],M1.CO2_At C^{12}$S [mol],M1.CO2_At C^{13}$S [mol],M1.CO2_At $\delta^{13}$C [VPDB],M1.CO2_At CO2 [mol/l],C_H_b_2_CO2_At.CO2_F CO2 [mol/a],C_H_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_H_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_H_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F CO2 [mol/a],C_L_b_2_CO2_At.CO2_F CO2 [C^{12}$S],C_L_b_2_CO2_At.CO2_F CO2 [C^{13}$S],C_L_b_2_CO2_At.CO2_F CO2 $\delta^{13}$C [VPDB],M1.volcanic.DIC_2_CO2_At_F CO2 [mol/a],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{12}$S],M1.volcanic.DIC_2_CO2_At_F CO2 [C^{13}$S],M1.volcanic.DIC_2_CO2_At_F CO2 $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F CO2 $\delta^{13}$C [VPDB]
0.0,5.19867639968869e+16,3.2297890727608e+16,1.9688873269278904e+16,53248.60717177224,0.0002836157337527,46456412685552.18,7191528077431.508,39264884608120.67,484875.5380661036,-46463463650179.09,-4214807084684.554,-42248656565494.54,891025.1348383906,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2948733615470.308,0.0,0.0,0.0
200.0,5.192733946295877e+16,3.2247240310989864e+16,1.9680099151968904e+16,53309.60168195003,0.0002832915409872273,46397126492325.22,7145916309128.906,39251210183196.31,487806.54825054243,-46198534862111.54,-4040791791264.4688,-42157743070847.07,927437.7040997624,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2948059417709.6987,0.0,0.0,0.0
400.0,5.1895549136523304e+16,3.221379751419958e+16,1.9681751622323724e+16,53370.54819221442,0.00028311810767334047,46376872910864.96,7114188770713.172,39262684140151.79,490130.03137768654,-46256212549834.8,-4058317944580.6797,-42197894605254.12,924308.6119349214,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2947698275443.197,0.0,0.0,0.0
600.0,5.187308288809643e+16,3.2186228591842556e+16,1.9686854296253876e+16,53431.22709663832,0.00028299554221547426,46379987740405.08,7095169212864.164,39284818527540.914,491724.18902693025,-46284223290465.97,-4055182692014.1484,-42229040598451.82,925707.503901818,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2947442983443.74,0.0,0.0,0.0
800.0,5.185369935424175e+16,3.2160613177931064e+16,1.969308617631069e+16,53491.824644298795,0.000282889794622159,46389989429569.61,7079818977762.93,39310170451806.68,493111.16000167205,-46302837548062.01,-4045466431778.9766,-42257371116283.03,928556.4381864499,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2947222664958.678,0.0,0.0,0.0
1000.0,5.183548311573245e+16,3.2135748192518e+16,1.969973492321445e+16,53552.3992831815,0.00028279041525222285,46401810795882.75,7065354907785.1875,39336455888097.56,494453.7681468419,-46318257704841.77,-4033479142995.8047,-42284778561845.97,931923.7182436988,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2947015559314.2803,0.0,0.0,0.0
1200.0,5.181784238808703e+16,3.2111261899030508e+16,1.9706580489056524e+16,53612.96912087085,0.0002826941756033117,46413906653047.36,7050930950281.25,39362975702766.11,495802.0165102462,-46332389582138.73,-4020545910513.8438,-42311843671624.88,935523.788374365,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2946814942962.294,0.0,0.0,0.0
1400.0,5.18005893736812e+16,3.2087036209434224e+16,1.9713553164246976e+16,53673.53988115519,0.00028260005113846806,46425809884411.31,7036294007221.148,39389515877190.164,497171.1288089486,-46345826896419.94,-4007080703651.664,-42338746192768.27,939268.2963519933,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2946618683479.7666,0.0,0.0,0.0
1600.0,5.178365974647161e+16,3.2063030538073348e+16,1.972062920839826e+16,53734.113481243454,0.0002825076909245587,46437393435771.35,7021378761486.359,39416014674284.99,498565.2248685866,-46358756141072.31,-3993215571454.9766,-42365540569617.336,943130.1914331511,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2946426051989.1,0.0,0.0,0.0
1800.0,5.1767027868912136e+16,3.203922856133427e+16,1.9727799307577864e+16,53794.6907270793,0.0002824169550949926,46448625453851.99,7006171271934.617,39442454181917.375,499985.39974503516,-46371240839369.766,-3978996793906.5234,-42392244045463.24,947101.2233385065,2941176470588.236,2908654760984.501,32521709603.73437,-5.0,2946236759414.7905,0.0,0.0,0.0
