M1.D_b.DIC Time [a],M1.D_b.DIC DIC [mol],M1.D_b.DIC C^{12}$S [mol],M1.D_b.DIC C^{13}$S [mol],M1.D_b.DIC $\delta^{13}$C [VPDB],M1.D_b.DIC DIC [mol/l],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [mol/a],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{12}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{13}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC $\delta^{13}$C [VPDB]
0.0,2.949950093449786e+18,1.937444837052028e+18,1.012505256397758e+18,45506.090230587724,0.002281019807072,1685968349036032.8,1066457752379362.0,619510596656670.8,50694.81354358626,1799587767853592.2,1181919201492663.2,617668566360929.0,45506.06577695078,2023162018843239.2,1279749302855234.5,743412715988004.8,50694.81354358626,2159505321424311.2,1418303041791196.0,741202279633115.0,45506.06577695078,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
200.0,2.9499907963943306e+18,1.9367716700530573e+18,1.0132191263412733e+18,45555.05508937788,0.002281051280222345,1686092758368780.5,1066111080859844.6,619981677508935.9,50750.94528405914,1799612585411072.2,1181508534239843.8,618104051171228.5,45555.030613670235,2023311310042536.8,1279333297031813.8,743978013010723.0,50750.94528405914,2159535102493286.8,1417810241087812.8,741724861405474.0,45555.030613670235,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
400.0,2.9500169928097787e+18,1.93608998482025e+18,1.0139270079895286e+18,45603.98379683219,0.00228107153634215,1686067533120165.8,1065669481786547.9,620398051333617.9,50807.16002550531,1799628572577550.8,1181092682748428.2,618535889829122.5,45603.959340716516,2023281039744199.0,1278803378143857.5,744477661600341.5,50807.16002550531,2159554287093061.0,1417311219298114.0,742243067794947.0,45603.959340716516,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
600.0,2.950029426156841e+18,1.9354001254296684e+18,1.0146293007271726e+18,45652.887030631544,0.0022810811503051046,1686061517629304.0,1065240278529253.8,620821239100050.2,50863.38709612679,1799636160096878.8,1180671842413327.5,618964317683551.2,45652.862582490634,2023273821155164.8,1278288334235104.5,744985486920060.2,50863.38709612679,2159563392116254.8,1416806210895993.0,742757181220261.8,45652.862582490634,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
800.0,2.950035291718524e+18,1.9347066205867185e+18,1.0153286711318054e+18,45701.77871903113,0.0022810856857928092,1686060268987789.2,1064814373871507.1,621245895116282.1,50919.62136370501,1799639739856712.0,1180248777484613.2,619390962372098.8,45701.75427515904,2023272322785347.2,1277777248645808.8,745495074139538.5,50919.62136370501,2159567687828054.5,1416298532981536.0,743269154846518.5,45701.75427515904,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
1000.0,2.9500368807056164e+18,1.9340109131089336e+18,1.0160259675966828e+18,45750.66328632896,0.0022810869144614023,1686059109530717.8,1064388820123467.9,621670289407249.9,50975.86161694626,1799640710394021.0,1179824368646727.2,619816341747293.8,45750.638845522044,2023270931436861.2,1277266584148161.5,746004347288699.8,50975.86161694626,2159568852472825.2,1415789242376072.8,743779610096752.5,45750.638845522044,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
1200.0,2.950034939365335e+18,1.9333134731042317e+18,1.0167214662611034e+18,45799.54222271394,0.0022810854133391823,1686056631839051.5,1063962730976117.6,622093900862933.9,51032.107565717095,1799639527102192.5,1179398902777988.5,620240624324204.0,45799.51778453742,2023267958206861.8,1276755277171341.2,746512681035520.5,51032.107565717095,2159567432522631.0,1415278683333586.0,744288749189045.0,45799.51778453742,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
1400.0,2.950029740233481e+18,1.9326144725129623e+18,1.0174152677205189e+18,45848.41611761601,0.0022810813931617682,1686052440780859.5,1063535858178367.2,622516582602492.2,51088.3591702142,1799636356369108.0,1178972484852232.8,620663871516875.2,45848.39168187202,2023262928937031.5,1276243029814040.8,747019899122990.8,51088.3591702142,2159563627642929.8,1414766981822679.5,744796645820250.2,45848.39168187202,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
1600.0,2.9500214350458834e+18,1.9319140079078134e+18,1.01810742713807e+18,45897.28528068799,0.0022810749712573928,1686046462495844.8,1063108156047590.5,622938306448254.2,51144.61644365893,1799631290838766.0,1178545173833871.2,621086117004894.8,45897.26084725042,2023255754995013.8,1275729787257108.8,747525967737905.0,51144.61644365893,2159557549006519.2,1414254208600645.5,745303340405873.8,45897.26084725042,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
1800.0,2.9500101239223245e+18,1.931212143218184e+18,1.0187979807041405e+18,45946.14993150185,0.0022810662250426906,1686038689101561.5,1062679620052238.5,623359069049323.0,51200.879466598664,1799624391484923.2,1178117008654517.2,621507382830406.0,45946.12550027143,2023246426921874.0,1275215544062686.2,748030882859187.8,51200.879466598664,2159549269781908.0,1413740410385421.0,745808859396487.0,45946.12550027143,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0
