M1.D_b.TA Time [a],M1.D_b.TA TA [mol],M1.D_b.TA C^{12}$S [mol],M1.D_b.TA C^{13}$S [mol],M1.D_b.TA $\delta^{13}$C [VPDB],M1.D_b.TA TA [mol/l],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB]
0.0,3.082311879560706e+18,1.1179750416085426e+19,-8.097436524930957e+18,-65455.10698409299,0.0023833672523691,1834919306476784.0,6799709238549238.0,-4964789932072454.0,-65975.91810061975,1880333761776284.8,6820091242000537.0,-4939757480224252.0,-65455.09076015395,2201903167772140.8,8159651086259086.0,-5957747918486945.0,-65975.91810061975,2256400514131542.5,8184109490400643.0,-5927708976269102.0,-65455.09076015395,120000000000000.0,118666520574994.69,1333479425005.328,0.0
200.0,3.082396184579198e+18,1.1194611626891635e+19,-8.112213429091357e+18,-65487.00785282226,0.0023834324403929396,1835235148188333.0,6809064727048328.0,-4973829578859995.0,-66004.78520433712,1880385156717453.5,6829157137240695.0,-4948771980523242.0,-65486.99198156244,2202282177825999.5,8170877672457994.0,-5968595494631994.0,-66004.78520433712,2256462188060944.5,8194988564688836.0,-5938526376627892.0,-65486.99198156244,120000000000000.0,118666520574994.69,1333479425005.328,0.0
400.0,3.0825016841561226e+18,1.1209512726709965e+19,-8.12700902680096e+18,-65518.74294939989,0.002383514016899992,1835300383506851.8,6818193525088294.0,-4982893141581442.0,-66036.04746727522,1880449517114006.2,6838247400070879.0,-4957797882956873.0,-65518.72708324229,2202360460208222.2,8181832230105953.0,-5979471769897731.0,-66036.04746727522,2256539420536807.5,8205896880085055.0,-5949357459548248.0,-65518.72708324229,120000000000000.0,118666520574994.69,1333479425005.328,0.0
600.0,3.082601793914382e+18,1.1224431161946223e+19,-8.14182734947996e+18,-65550.47426075299,0.0023835914257829345,1835361916911026.8,6827334760629949.0,-4991972843718922.0,-66067.3179618804,1880510589723773.8,6847348237950697.0,-4966837648226923.0,-65550.45839601943,2202434300293232.2,8192801712755939.0,-5990367412462707.0,-66067.3179618804,2256612707668528.5,8216817885540837.0,-5960205177872308.0,-65550.45839601943,120000000000000.0,118666520574994.69,1333479425005.328,0.0
800.0,3.0826963987224177e+18,1.1239367623697062e+19,-8.156669203524104e+18,-65582.20406885237,0.002383664578017426,1835420336959137.2,6836487980958803.0,-5001067643999666.0,-66098.58724113027,1880568304121246.5,6856460072594163.0,-4975891768472916.0,-65582.1882047786,2202504404350964.8,8203785577150563.0,-6001281172799598.0,-66098.58724113027,2256681964945496.0,8227752087112995.0,-5971070122167499.0,-65582.1882047786,120000000000000.0,118666520574994.69,1333479425005.328,0.0
1000.0,3.082785615180364e+18,1.1254322399628876e+19,-8.171534760028839e+18,-65613.93192853368,0.002383733563763369,1835475545986757.5,6845652800039202.0,-5010177254052444.0,-66129.85506974511,1880622731442029.2,6865583079564675.0,-4984960348122646.0,-65613.91606456552,2202570655184109.0,8214783360047043.0,-6012212704862934.0,-66129.85506974511,2256747277730435.5,8238699695477612.0,-5981952417747176.0,-65613.91606456552,120000000000000.0,118666520574994.69,1333479425005.328,0.0
1200.0,3.0828695586291564e+18,1.126929563160393e+19,-8.18642404583457e+18,-65645.65709103298,0.002383798472207005,1835527559062647.5,6854829129700072.0,-5019301570637424.0,-66161.12079269474,1880673941861460.8,6874717345427351.0,-4994043403565890.0,-65645.64122912602,2202633070875177.0,8225794955640086.0,-6023161884764909.0,-66161.12079269474,2256808730233753.0,8249660814512822.0,-5992852084279069.0,-65645.64122912602,120000000000000.0,118666520574994.69,1333479425005.328,0.0
1400.0,3.082948340276326e+18,1.128428741587729e+19,-8.201337045809304e+18,-65677.37874038996,0.0023838593893384602,1835576441506507.5,6864016972965956.0,-5028440531459448.0,-66192.38342476521,1880722003330464.0,6883862928909114.0,-5003140925578650.0,-65677.36288109813,2202691729807809.0,8236820367559146.0,-6034128637751337.0,-66192.38342476521,2256866403996557.0,8260635514690938.0,-6003769110694381.0,-65677.36288109813,120000000000000.0,118666520574994.69,1333479425005.328,0.0
1600.0,3.0830221183725563e+18,1.129929783382282e+19,-8.216273682890274e+18,-65709.09566139824,0.0023839164375235133,1835622288608080.8,6873216360403815.0,-5037594071795734.0,-66223.6416931872,1880767012501914.2,6893019879653839.0,-5012252867151925.0,-65709.07980381505,2202746746329697.0,8247859632484578.0,-6045112886154881.0,-66223.6416931872,2256920415002297.0,8271623855584606.0,-6014703440582309.0,-65709.07980381505,120000000000000.0,118666520574994.69,1333479425005.328,0.0
1800.0,3.083091036975672e+18,1.131432696132938e+19,-8.231233889277552e+18,-65740.80674867031,0.0023839697281534573,1835665164116623.0,6882427330519567.0,-5046762166402944.0,-66254.89476667959,1880809057034939.2,6902188243957818.0,-5021379186922879.0,-65740.79089475753,2202798196939947.5,8258912796623479.0,-6056114599683532.0,-66254.89476667959,2256970868441927.0,8282625892749380.0,-6025655024307453.0,-65740.79089475753,120000000000000.0,118666520574994.69,1333479425005.328,0.0
