M1.D_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,zsat,zcc,zsnow,Fburial,B,BNS,BDS_under,BDS_resp,BDS,BCC,BPDC,BD,Omega
0.0,1.4624444006837121e-08,0.0023345993356814,0.0021698719312283,8.236370222655339e-05,2.8784175216977443e-05,3452.0,4584.0,4584.0,10057968811333.36,60000000000000.0,9906875052581.39,13081373702420.896,5180078164418.651,18261451866839.547,21773704269245.7,0.0,49942031188666.64,1.2161136677154665
200.0,1.4621301366029033e-08,0.0023346551494128763,0.002169890898893119,8.238212525987863e-05,2.877824135651217e-05,3453.0,4584.0,4584.0,10066105399887.39,60000000000000.0,9915227688703.586,13061032231035.828,5183930411127.498,18244962642163.33,21773704269245.7,0.0,49933894600112.61,1.2163856868455192
400.0,1.46155025778726e-08,0.0023347194888261587,0.00216988993994712,8.24147744395193e-05,2.876681523228137e-05,3455.0,4586.0,4586.0,10078764412155.227,60000000000000.0,9931952972030.326,13072685747084.908,5186193646202.514,18258879393287.42,21730403222527.027,0.0,49921235587844.77,1.2168677573757085
600.0,1.4609066643412566e-08,0.002334777750880906,0.0021698766010553997,8.245057491275323e-05,2.8753971009918156e-05,3457.0,4588.0,4588.0,10092759405661.992,60000000000000.0,9948704948968.918,13080993973870.877,5190434159524.075,18271428133394.953,21687107511974.137,0.0,49907240594338.01,1.217396357276314
800.0,1.4602545364653137e-08,0.00233483148663504,0.0021698581009713196,8.248669283186013e-05,2.8740890604649245e-05,3460.0,4590.0,4590.0,10107252698037.984,60000000000000.0,9973882996841.928,13088051029535.137,5186996050215.063,18275047079750.2,21643817225369.883,0.0,49892747301962.016,1.217929644317668
1000.0,1.4596102827611648e-08,0.002334881275111082,0.0021698367000793062,8.252228751588785e-05,2.872792699149386e-05,3462.0,4591.0,4591.0,10122098366301.336,60000000000000.0,9990701771695.967,13072579940766.018,5192445777756.037,18265025718522.055,21622174143480.645,0.0,49877901633698.664,1.2184552057066529
1200.0,1.4589786541835237e-08,0.0023349273476639025,0.002169813115384305,8.255711613979876e-05,2.8715183212369225e-05,3464.0,4593.0,4593.0,10135701017717.281,60000000000000.0,10007547291270.521,13081855298314.58,5196004235305.393,18277859533619.973,21578892157392.23,0.0,49864298982282.72,1.2189694560914799
1400.0,1.4583608568785781e-08,0.0023349698272978705,0.0021697875916705535,8.259111781365848e-05,2.870268627352436e-05,3466.0,4595.0,4595.0,10148958306220.016,60000000000000.0,10024419570168.064,13091988419740.336,5199017889161.966,18291006308902.3,21535615814709.613,0.0,49851041693779.984,1.2194714964222104
1600.0,1.4577568414372546e-08,0.0023350088359525797,0.0021697602407960643,8.262429757825772e-05,2.8690436704602437e-05,3468.0,4596.0,4596.0,10162799951641.773,60000000000000.0,10041318622991.06,13079020333817.926,5202881304471.6045,18281901638289.53,21513979787077.637,0.0,49837200048358.23,1.2199614011269517
1800.0,1.457166277115854e-08,0.002335044475785876,0.002169731126469352,8.265667465826194e-05,2.8678428858092998e-05,3470.0,4598.0,4598.0,10175380778818.11,60000000000000.0,10058244464342.006,13090835978858.127,5204826703885.16,18295662682743.29,21470712074096.598,0.0,49824619221181.89,1.2204394540610652
2000.0,1.4565889998437918e-08,0.00233507679717547,0.0021697002816727395,8.26882577513652e-05,2.866665995842981e-05,3472.0,4599.0,4599.0,10188556370475.5,60000000000000.0,10075197108823.361,13079528663117.984,5207637446889.891,18287166110007.875,21449080410693.266,0.0,49811443629524.5,1.2209057836474402
2200.0,1.4560245768271312e-08,0.0023351058855865595,0.0021696677434866734,8.271907104994303e-05,2.8655121993820254e-05,3474.0,4601.0,4601.0,10200484916830.61,60000000000000.0,10092176571037.6,13092966182998.213,5208550804208.322,18301516987206.535,21405821524925.25,0.0,49799515083169.39,1.2213607470904968
2400.0,1.4554739804811306e-08,0.0023351316322280376,0.0021696335167460225,8.274905774100752e-05,2.8643834179926378e-05,3476.0,4602.0,4602.0,10212994373518.39,60000000000000.0,10109182865587.21,13083319741697.725,5210308694690.381,18293628436388.105,21384194324506.293,0.0,49787005626481.61,1.221803505537085
2600.0,1.4549367761298785e-08,0.0023351542062559558,0.002169597715991712,8.277824513212178e-05,2.8632789486485307e-05,3477.0,4604.0,4604.0,10223875451601.39,60000000000000.0,10117696079551.047,13099366907533.773,5218117097851.045,18317484005384.82,21340944463462.746,0.0,49776124548398.61,1.2222344621878847
2800.0,1.4544130590826926e-08,0.0023351736272267634,0.002169560372620263,8.28066273032503e-05,2.8621990213291296e-05,3479.0,4605.0,4605.0,10235713072519.688,60000000000000.0,10134742649983.34,13091395493916.906,5218826958796.188,18310222452713.094,21319321824783.883,0.0,49764286927480.31,1.2226535296325933
3000.0,1.4539022121928087e-08,0.002335190027361191,0.002169521547223297,8.283424006894709e-05,2.8611425022832685e-05,3481.0,4607.0,4607.0,10246299278446.11,60000000000000.0,10151816089257.19,13108170617908.473,5217632828411.981,18325803446320.453,21276081185976.246,0.0,49753700721553.89,1.2230612366790168
3200.0,1.453404274875612e-08,0.0023352034019618506,0.0021694812424825453,8.286107973965264e-05,2.8601094733111824e-05,3483.0,4608.0,4608.0,10257492888052.14,60000000000000.0,10168916411975.064,13101804572076.459,5217322920103.1455,18319127492179.605,21254463207793.195,0.0,49742507111947.86,1.2234575288501996
3400.0,1.452920548559277e-08,0.002335213611145423,0.0021694394691993205,8.288707097305124e-05,2.8591025102275196e-05,3484.0,4609.0,4609.0,10267958557975.14,60000000000000.0,10177476659188.785,13097256800007.66,5224461177773.94,18321717977781.6,21232846805054.47,0.0,49732041442024.86,1.2238412937044052
3600.0,1.4524510541276914e-08,0.0023352207793989953,0.002169396348228299,8.291221558534806e-05,2.8581218136679255e-05,3486.0,4610.0,4610.0,10278438633784.203,60000000000000.0,10194617334452.334,13092671426806.574,5223040616223.973,18315712043030.547,21211231988732.914,0.0,49721561366215.8,1.2242125580582033
3800.0,1.4519953690076598e-08,0.002335225036014292,0.0021693519577320715,8.293653914111026e-05,2.857166655109841e-05,3487.0,4612.0,4612.0,10287271268316.266,60000000000000.0,10203197766152.793,13113814669976.55,5227709136321.605,18341523806298.156,21168007159232.79,0.0,49712728731683.734,1.224571699376651
4000.0,1.4515532667657598e-08,0.002335226446911315,0.0021693063376298197,8.296005464074763e-05,2.8562366414639287e-05,3489.0,4613.0,4613.0,10297067167725.14,60000000000000.0,10220378826817.598,13110934912687.227,5225221924770.113,18336156837457.34,21146397167999.926,0.0,49702932832274.86,1.2249189096129451
4200.0,1.4511245793772171e-08,0.0023352250544601506,0.002169259512028022,8.298277121606421e-05,2.8553314736369084e-05,3490.0,4614.0,4614.0,10306153158793.812,60000000000000.0,10228979459432.568,13109828295939.803,5230250278758.1455,18340078574697.95,21124788807075.676,0.0,49693846841206.19,1.2252543235996818
4400.0,1.4507092668175063e-08,0.002335220908612195,0.0021692115255591035,8.300469152654568e-05,2.8544511313039573e-05,3491.0,4615.0,4615.0,10314903449047.555,60000000000000.0,10237586829336.336,13109559289948.207,5234768344235.001,18344327634183.207,21103182087432.902,0.0,49685096550952.445,1.2255779806046054
4600.0,1.4503071773817398e-08,0.002335214088463988,0.002169162437958498,8.302582525274486e-05,2.8535953941227982e-05,3493.0,4616.0,4616.0,10323695493516.898,60000000000000.0,10254821788311.47,13109184246163.295,5230721451963.884,18339905698127.18,21081577020044.45,0.0,49676304506483.1,1.225890023562678
4800.0,1.4499179688775906e-08,0.002335204681834157,0.0021691122966775145,8.304619257832116e-05,2.8527636506634705e-05,3494.0,4617.0,4617.0,10331789510765.281,60000000000000.0,10263449381033.465,13110552607203.605,5234234885114.466,18344787492318.07,21059973615883.18,0.0,49668210489234.72,1.2261907504889642
5000.0,1.4495412127034177e-08,0.00233519278359858,0.002169061146370568,8.306581861400601e-05,2.8519551157289583e-05,3495.0,4618.0,4618.0,10339570390228.266,60000000000000.0,10272083718345.494,13112702138507.383,5237271866996.901,18349974005504.285,21038371885921.96,0.0,49660429609771.734,1.2264805321475616
5200.0,1.4491778047558917e-08,0.0023351782110290417,0.0021690089147437357,8.308464814265303e-05,2.8511714562134884e-05,3496.0,4619.0,4619.0,10347014340769.398,60000000000000.0,10280724802072.85,13115692306942.865,5239796709081.246,18355489016024.11,21016771841133.645,0.0,49652985659230.6,1.2267585532481828
5400.0,1.4488312161271368e-08,0.00233516057207844,0.00216895560958546,8.310248124648997e-05,2.850419510524874e-05,3497.0,4620.0,4620.0,10354036008900.64,60000000000000.0,10289372634040.863,13119736485257.324,5241681379310.097,18361417864567.42,20995173492491.08,0.0,49645963991099.36,1.2270218619719002
5600.0,1.448502550964856e-08,0.002335139988063423,0.002168901463755878,8.311926215377264e-05,2.8497017554262455e-05,3498.0,4621.0,4621.0,10360611247611.938,60000000000000.0,10298027216074.834,13124895030003.023,5242889655343.066,18367784685346.09,20973576850967.145,0.0,49639388752388.06,1.2272696348396979
