M1.H_b.DIC Time [a],M1.H_b.DIC DIC [mol],M1.H_b.DIC C^{12}$S [mol],M1.H_b.DIC C^{13}$S [mol],M1.H_b.DIC $\delta^{13}$C [VPDB],M1.H_b.DIC DIC [mol/l],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [mol/a],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{12}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC [C^{13}$S],M1.CG_H_b2D_b.C_DIC_2_DIC_mix_f.mix_f_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [mol/a],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{12}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC [C^{13}$S],M1.CG_D_b2H_b.C_DIC_2_DIC_mix_b.mix_b_F DIC $\delta^{13}$C [VPDB],C_H_b_2_CO2_At.CO2_F DIC [mol/a],C_H_b_2_CO2_At.CO2_F DIC [C^{12}$S],C_H_b_2_CO2_At.CO2_F DIC [C^{13}$S],C_H_b_2_CO2_At.CO2_F DIC $\delta^{13}$C [VPDB]
0.0,3.703777553445252e+16,2.342820668613889e+16,1.3609568848313632e+16,50694.84168861235,0.0021370045228268,1503168458682351.5,920665504820135.2,582502953862216.4,55303.85746028375,1685968349036032.8,1066457752379362.0,619510596656670.8,50694.81354358626,2023162018843239.2,1279749302855234.5,743412715988004.8,50694.81354358626,2159505321424311.2,1418303041791196.0,741202279633115.0,45506.06577695078,46456412685552.18,7191528077431.508,39264884608120.67,484875.5380661036
200.0,3.704050814418369e+16,2.3420590648107144e+16,1.3619917496076544e+16,50750.973385383695,0.0021371621888656763,1503467207399280.0,920438528531232.9,583028678868047.1,55368.57007344014,1686092758368780.5,1066111080859844.6,619981677508935.9,50750.94528405914,2023311310042536.8,1279333297031813.8,743978013010723.0,50750.94528405914,2159535102493286.8,1417810241087812.8,741724861405474.0,45555.030613670235,46397126492325.22,7145916309128.906,39251210183196.31,487806.54825054243
400.0,3.703995432228357e+16,2.3410889701452252e+16,1.3629064620831316e+16,50807.18813674404,0.002137130234465383,1503416107716365.8,919999885352489.1,583416222363876.6,55432.93229740267,1686067533120165.8,1065669481786547.9,620398051333617.9,50807.16002550531,2023281039744199.0,1278803378143857.5,744477661600341.5,50807.16002550531,2159554287093061.0,1417311219298114.0,742243067794947.0,45603.959340716516,46376872910864.96,7114188770713.172,39262684140151.79,490130.03137768654
600.0,3.703982227756929e+16,2.3401460926124148e+16,1.363836135144514e+16,50863.41521159816,0.002137122615753202,1503391704761021.5,919580360919091.0,583811343841930.5,55496.91464419266,1686061517629304.0,1065240278529253.8,620821239100050.2,50863.38709612679,2023273821155164.8,1278288334235104.5,744985486920060.2,50863.38709612679,2159563392116254.8,1416806210895993.0,742757181220261.8,45652.862582490634,46379987740405.08,7095169212864.164,39284818527540.914,491724.18902693025
800.0,3.7039794863479096e+16,2.3392104559330684e+16,1.3647690304148412e+16,50919.64948238213,0.0021371210340158033,1503374824146467.8,919166534318816.1,584208289827651.6,55560.78142210558,1686060268987789.2,1064814373871507.1,621245895116282.1,50919.62136370501,2023272322785347.2,1277777248645808.8,745495074139538.5,50919.62136370501,2159567687828054.5,1416298532981536.0,743269154846518.5,45701.75427515904,46389989429569.61,7079818977762.93,39310170451806.68,493111.16000167205
1000.0,3.703976938212161e+16,2.338275588472101e+16,1.36570134974006e+16,50975.889738539256,0.0021371195637931613,1503359186192475.8,918754039359038.9,584605146833436.9,55624.61504373595,1686059109530717.8,1064388820123467.9,621670289407249.9,50975.86161694626,2023270931436861.2,1277266584148161.5,746004347288699.8,50975.86161694626,2159568852472825.2,1415789242376072.8,743779610096752.5,45750.638845522044,46401810795882.75,7065354907785.1875,39336455888097.56,494453.7681468419
1200.0,3.703971493446834e+16,2.3373395443942044e+16,1.3666319490526292e+16,51032.135690098956,0.0021371164222740062,1503342888350751.0,918341551015941.2,585001337334809.8,55688.4410153631,1686056631839051.5,1063962730976117.6,622093900862933.9,51032.107565717095,2023267958206861.8,1276755277171341.2,746512681035520.5,51032.107565717095,2159567432522631.0,1415278683333586.0,744288749189045.0,45799.51778453742,46413906653047.36,7050930950281.25,39362975702766.11,495802.0165102462
1400.0,3.7039622844931224e+16,2.336401778634091e+16,1.3675605058590312e+16,51088.38729741129,0.0021371111088945042,1503325376475169.8,917928680159671.8,585396696315498.0,55752.267386025815,1686052440780859.5,1063535858178367.2,622516582602492.2,51088.3591702142,2023262928937031.5,1276243029814040.8,747019899122990.8,51088.3591702142,2159563627642929.8,1414766981822679.5,744796645820250.2,45848.39168187202,46425809884411.31,7036294007221.148,39389515877190.164,497171.1288089486
1600.0,3.703949149205779e+16,2.3354621909053524e+16,1.3684869583004268e+16,51144.644573760976,0.002137103530100137,1503306515245164.8,917515327881178.1,585791187363986.6,55816.09682935545,1686046462495844.8,1063108156047590.5,622938306448254.2,51144.61644365893,2023255754995013.8,1275729787257108.8,747525967737905.0,51144.61644365893,2159557549006519.2,1414254208600645.5,745303340405873.8,45897.26084725042,46437393435771.35,7021378761486.359,39416014674284.99,498565.2248685866
1800.0,3.703932070521566e+16,2.3345207714151068e+16,1.3694112991064596e+16,51200.907599543025,0.002137093676045761,1503286271315653.2,917101467648342.6,586184803667310.6,55879.93043449563,1686038689101561.5,1062679620052238.5,623359069049323.0,51200.879466598664,2023246426921874.0,1275215544062686.2,748030882859187.8,51200.879466598664,2159549269781908.0,1413740410385421.0,745808859396487.0,45946.12550027143,46448625453851.99,7006171271934.617,39442454181917.375,499985.39974503516
