M1.H_b.TA Time [a],M1.H_b.TA TA [mol],M1.H_b.TA C^{12}$S [mol],M1.H_b.TA C^{13}$S [mol],M1.H_b.TA $\delta^{13}$C [VPDB],M1.H_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [mol/a],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{12}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA [C^{13}$S],M1.CG_H_b2D_b.C_TA_2_TA_mix_f.mix_f_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [mol/a],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{12}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA [C^{13}$S],M1.CG_D_b2H_b.C_TA_2_TA_mix_b.mix_b_F TA $\delta^{13}$C [VPDB]
0.0,4.030996752689362e+16,1.4937781743174333e+17,-1.090678499048497e+17,-65975.93409571538,0.0023258033636454,1780421792649471.5,6776245171094986.0,-4995823378445514.0,-66608.46163336908,1834919306476784.0,6799709238549238.0,-4964789932072454.0,-65975.91810061975,2201903167772140.8,8159651086259086.0,-5957747918486945.0,-65975.91810061975,2256400514131542.5,8184109490400643.0,-5927708976269102.0,-65455.09076015395
200.0,4.031690681804566e+16,1.4958334195343222e+17,-1.0926643513538656e+17,-66004.800810507,0.0023262037466696556,1781062982645424.8,6785956210268124.0,-5004893227622699.0,-66633.51349058756,1835235148188333.0,6809064727048328.0,-4973829578859995.0,-66004.78520433712,2202282177825999.5,8170877672457994.0,-5968595494631994.0,-66004.78520433712,2256462188060944.5,8194988564688836.0,-5938526376627892.0,-65486.99198156244
400.0,4.031833983152705e+16,1.4978388578025702e+17,-1.0946554594872998e+17,-66036.06310279315,0.002326286428640881,1781128344294225.2,6795132269308374.0,-5014003925014149.0,-66664.19799124348,1835300383506851.8,6818193525088294.0,-4982893141581442.0,-66036.04746727522,2202360460208222.2,8181832230105953.0,-5979471769897731.0,-66036.04746727522,2256539420536807.5,8205896880085055.0,-5949357459548248.0,-65518.72708324229
600.0,4.031969158040303e+16,1.4998470287147738e+17,-1.0966501129107434e+17,-66067.33359646624,0.0023263644218092074,1781190106849411.5,6804323343181715.0,-5023133236332304.0,-66694.89820729994,1835361916911026.8,6827334760629949.0,-4991972843718922.0,-66067.3179618804,2202434300293232.2,8192801712755939.0,-5990367412462707.0,-66067.3179618804,2256612707668528.5,8216817885540837.0,-5960205177872308.0,-65550.45839601943
800.0,4.0320974930967176e+16,1.501857832400303e+17,-1.0986480830906314e+17,-66098.60287548375,0.0023264384685336764,1781249016626611.0,6813527512685952.0,-5032278496059341.0,-66725.59757167606,1835420336959137.2,6836487980958803.0,-5001067643999666.0,-66098.58724113027,2202504404350964.8,8203785577150563.0,-6001281172799598.0,-66098.58724113027,2256681964945496.0,8227752087112995.0,-5971070122167499.0,-65582.1882047786
1000.0,4.032218774095671e+16,1.503871184108693e+17,-1.100649306699126e+17,-66129.87070351306,0.0023265084452100716,1781304805939534.0,6822743772681414.0,-5041438966741880.0,-66756.29597966571,1835475545986757.5,6845652800039202.0,-5010177254052444.0,-66129.85506974511,2202570655184109.0,8214783360047043.0,-6012212704862934.0,-66129.85506974511,2256747277730435.5,8238699695477612.0,-5981952417747176.0,-65613.91606456552
1200.0,4.032333034306403e+16,1.505887064487575e+17,-1.1026537610569347e+17,-66161.1364248208,0.002326574371034069,1781357440310083.8,6831971842587722.0,-5050614402277638.0,-66786.99276833134,1835527559062647.5,6854829129700072.0,-5019301570637424.0,-66161.12079269474,2202633070875177.0,8225794955640086.0,-6023161884764909.0,-66161.12079269474,2256808730233753.0,8249660814512822.0,-5992852084279069.0,-65645.64122912602
1400.0,4.032440417120093e+16,1.5079054742065712e+17,-1.104661432494562e+17,-66192.39905489828,0.00232663632873947,1781406971422687.2,6841211663768791.0,-5059804692346104.0,-66817.6869143315,1835576441506507.5,6864016972965956.0,-5028440531459448.0,-66192.38342476521,2202691729807809.0,8236820367559146.0,-6034128637751337.0,-66192.38342476521,2256866403996557.0,8260635514690938.0,-6003769110694381.0,-65677.36288109813
1600.0,4.032541131801993e+16,1.5099264199820573e+17,-1.106672306801858e+17,-66223.65732140988,0.002326694439068082,1781453485967012.0,6850463245249107.0,-5069009759282095.0,-66848.37717475522,1835622288608080.8,6873216360403815.0,-5037594071795734.0,-66223.6416931872,2202746746329697.0,8247859632484578.0,-6045112886154881.0,-66223.6416931872,2256920415002297.0,8271623855584606.0,-6014703440582309.0,-65709.07980381505
1800.0,4.032635318649901e+16,1.5119499102737302e+17,-1.1086863784087402e+17,-66254.91039160195,0.0023267487829688877,1781497044183658.2,6859726616806089.0,-5078229572622431.0,-66879.06272630906,1835665164116623.0,6882427330519567.0,-5046762166402944.0,-66254.89476667959,2202798196939947.5,8258912796623479.0,-6056114599683532.0,-66254.89476667959,2256970868441927.0,8282625892749380.0,-6025655024307453.0,-65740.79089475753
