M1.L_b.DIC Time [a],M1.L_b.DIC DIC [mol],M1.L_b.DIC C^{12}$S [mol],M1.L_b.DIC C^{13}$S [mol],M1.L_b.DIC $\delta^{13}$C [VPDB],M1.L_b.DIC DIC [mol/l],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_L_b2H_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [mol/a],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{12}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC [C^{13}$S],M1.CG_D_b2L_b.C_DIC_2_DIC_thc.thc_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_POM.POM_F DIC $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [mol/a],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{12}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC [C^{13}$S],M1.CG_L_b2D_b.C_DIC_2_DIC_PIC_DIC.PIC_DIC_F DIC $\delta^{13}$C [VPDB],C_L_b_2_CO2_At.CO2_F DIC [mol/a],C_L_b_2_CO2_At.CO2_F DIC [C^{12}$S],C_L_b_2_CO2_At.CO2_F DIC [C^{13}$S],C_L_b_2_CO2_At.CO2_F DIC $\delta^{13}$C [VPDB],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC [mol/a],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC [C^{12}$S],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC [C^{13}$S],M1.C_DIC_2_DIC_Ca_W.DIC_2_DIC_Ca_W_F DIC $\delta^{13}$C [VPDB],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC [mol/a],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC [C^{12}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC [C^{13}$S],M1.C_CO2_At_2_DIC_Si_W.CO2_At_2_DIC_Si_W_F DIC $\delta^{13}$C [VPDB]
0.0,5.390493484001532e+16,3.301586257817141e+16,2.0889072261843908e+16,55303.88902924085,0.0019053013637431,1503168458682351.5,920665504820135.2,582502953862216.4,55303.85746028375,1799587767853592.2,1181919201492663.2,617668566360929.0,45506.06577695078,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46463463650179.09,-4214807084684.554,-42248656565494.54,891025.1348383906,7095144426963.751,0.0,0.0,0.0,2948733615470.308,0.0,0.0,0.0
200.0,5.3915646938078296e+16,3.300772204248137e+16,2.090792489559693e+16,55368.602441769144,0.0019056799890973346,1503467207399280.0,920438528531232.9,583028678868047.1,55368.57007344014,1799612585411072.2,1181508534239843.8,618104051171228.5,45555.030613670235,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46198534862111.54,-4040791791264.4688,-42157743070847.07,927437.7040997624,7091900333563.027,0.0,0.0,0.0,2948059417709.6987,0.0,0.0,0.0
400.0,5.391381518984072e+16,3.2991992441221252e+16,2.0921822748619468e+16,55432.96434802453,0.0019056152448874502,1503416107716365.8,919999885352489.1,583416222363876.6,55432.93229740267,1799628572577550.8,1181092682748428.2,618535889829122.5,45603.959340716516,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46256212549834.8,-4058317944580.6797,-42197894605254.12,924308.6119349214,7090162900409.452,0.0,0.0,0.0,2947698275443.197,0.0,0.0,0.0
600.0,5.391294032816877e+16,3.2976948110262864e+16,2.0935992217905904e+16,55496.94659524651,0.0019055843223913633,1503391704761021.5,919580360919091.0,583811343841930.5,55496.91464419266,1799636160096878.8,1180671842413327.5,618964317683551.2,45652.862582490634,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46284223290465.97,-4055182692014.1484,-42229040598451.82,925707.503901818,7088934834771.816,0.0,0.0,0.0,2947442983443.74,0.0,0.0,0.0
800.0,5.3912335031180904e+16,3.296210797443891e+16,2.095022705674199e+16,55560.81334376013,0.0019055629278162678,1503374824146467.8,919166534318816.1,584208289827651.6,55560.78142210558,1799639739856712.0,1180248777484613.2,619390962372098.8,45701.75427515904,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46302837548062.01,-4045466431778.9766,-42257371116283.03,928556.4381864499,7087875092466.443,0.0,0.0,0.0,2947222664958.678,0.0,0.0,0.0
1000.0,5.391177423899273e+16,3.29473155519551e+16,2.0964458687037628e+16,55624.64695759734,0.0019055431062892762,1503359186192475.8,918754039359038.9,584605146833436.9,55624.61504373595,1799640710394021.0,1179824368646727.2,619816341747293.8,45750.638845522044,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46318257704841.77,-4033479142995.8047,-42284778561845.97,931923.7182436988,7086878976781.816,0.0,0.0,0.0,2947015559314.2803,0.0,0.0,0.0
1200.0,5.391118976586421e+16,3.293252335498082e+16,2.0978666410883388e+16,55688.47292809244,0.0019055224477456355,1503342888350751.0,918341551015941.2,585001337334809.8,55688.4410153631,1799639527102192.5,1179398902777988.5,620240624324204.0,45799.51778453742,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46332389582138.73,-4020545910513.8438,-42311843671624.88,935523.788374365,7085914139381.749,0.0,0.0,0.0,2946814942962.294,0.0,0.0,0.0
1400.0,5.391056175107338e+16,3.2917717436992896e+16,2.099284431408048e+16,55752.29929983121,0.0019055002501965435,1503325376475169.8,917928680159671.8,585396696315498.0,55752.267386025815,1799636356369108.0,1178972484852232.8,620663871516875.2,45848.39168187202,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46345826896419.94,-4007080703651.664,-42338746192768.27,939268.2963519933,7084970319318.938,0.0,0.0,0.0,2946618683479.7666,0.0,0.0,0.0
1600.0,5.390988534562972e+16,3.290289425360868e+16,2.100699109202104e+16,55816.128745100315,0.0019054763422516018,1503306515245164.8,917515327881178.1,585791187363986.6,55816.09682935545,1799631290838766.0,1178545173833871.2,621086117004894.8,45897.26084725042,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46358756141072.31,-3993215571454.9766,-42365540569617.336,943130.1914331511,7084044007549.501,0.0,0.0,0.0,2946426051989.1,0.0,0.0,0.0
1800.0,5.3909159356660744e+16,3.2888052855281636e+16,2.1021106501379108e+16,55879.962352421455,0.0019054506817480362,1503286271315653.2,917101467648342.6,586184803667310.6,55879.93043449563,1799624391484923.2,1178117008654517.2,621507382830406.0,45946.12550027143,200000000000000.0,197777534291657.75,2222465708342.2188,0.0,60000000000000.0,59333260287497.336,666739712502.6641,0.0,-46371240839369.766,-3978996793906.5234,-42392244045463.24,947101.2233385065,7083133810702.007,0.0,0.0,0.0,2946236759414.7905,0.0,0.0,0.0
