M1.L_b.TA Time [a],M1.L_b.TA TA [mol],M1.L_b.TA C^{12}$S [mol],M1.L_b.TA C^{13}$S [mol],M1.L_b.TA $\delta^{13}$C [VPDB],M1.L_b.TA TA [mol/l],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_L_b2H_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [mol/a],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{12}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA [C^{13}$S],M1.CG_D_b2L_b.C_TA_2_TA_thc.thc_F TA $\delta^{13}$C [VPDB],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [mol/a],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{12}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA [C^{13}$S],M1.CG_L_b2D_b.C_TA_2_TA_PIC_TA.PIC_TA_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [mol/a],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [C^{12}$S],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA [C^{13}$S],M1.C_TA_2_TA_wca_ta.TA_2_TA_wca_ta_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [mol/a],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [C^{12}$S],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA [C^{13}$S],M1.C_TA_2_TA_wsi_ta.TA_2_TA_wsi_ta_F TA $\delta^{13}$C [VPDB],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [mol/a],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [C^{12}$S],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA [C^{13}$S],M1.C_TA_2_TA_PyOx_TA.TA_2_TA_PyOx_TA_F TA $\delta^{13}$C [VPDB]
0.0,6.384748174702495e+16,2.430022383501232e+17,-1.7915475660309824e+17,-66608.47735709099,0.0022567264834882,1780421792649471.5,6776245171094986.0,-4995823378445514.0,-66608.46163336908,1880333761776284.8,6820091242000537.0,-4939757480224252.0,-65455.09076015395,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14190288853927.502,54007919201986.85,-39817630348059.35,-66608.46163336908,5897467230940.616,22445627216168.38,-16548159985227.762,-66608.46163336908,0.0,0.0,0.0,0.0
200.0,6.38704767375889e+16,2.4335048586312413e+17,-1.7948000912553523e+17,-66633.52879012613,0.002257539254842303,1781062982645424.8,6785956210268124.0,-5004893227622699.0,-66633.51349058756,1880385156717453.5,6829157137240695.0,-4948771980523242.0,-65486.99198156244,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14183800667126.055,54041126653099.87,-39857325985973.81,-66633.51349058756,5896118835419.397,22464564486240.008,-16568445650820.61,-66633.51349058756,611200001600.0007,604596263602.382,6603737997.618774,-28.0
400.0,6.387282046360821e+16,2.436795475609691e+17,-1.798067270973609e+17,-66664.21334151243,0.0022576220952055105,1781128344294225.2,6795132269308374.0,-5014003925014149.0,-66664.19799124348,1880449517114006.2,6838247400070879.0,-4957797882956873.0,-65518.72708324229,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14180325800818.904,54098959093614.516,-39918633292795.61,-66664.19799124348,5895396550886.394,22491360306306.984,-16595963755420.59,-66664.19799124348,614400003200.0015,607761690640.6958,6638312559.305664,-28.0
600.0,6.387503527715874e+16,2.4400914775738067e+17,-1.8013411248022195e+17,-66694.91355695043,0.002257700379082317,1781190106849411.5,6804323343181715.0,-5023133236332304.0,-66694.89820729994,1880510589723773.8,6847348237950697.0,-4966837648226923.0,-65550.45839601943,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14177869669543.633,54160872092256.555,-39983002422712.92,-66694.89820729994,5894885966887.48,22519050625559.027,-16624164658671.547,-66694.89820729994,617600004800.0023,610927117679.0098,6672887120.992554,-28.0
800.0,6.387714777771295e+16,2.443392175435717e+17,-1.8046206976585875e+17,-66725.61292126619,0.0022577750466465907,1781249016626611.0,6813527512685952.0,-5032278496059341.0,-66725.59757167606,1880568304121246.5,6856460072594163.0,-4975891768472916.0,-65582.1882047786,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14175750184932.887,54224234229149.29,-40048484044216.41,-66725.59757167606,5894445329917.356,22547080757678.23,-16652635427760.875,-66725.59757167606,620800006400.003,614092544717.3235,6707461682.679565,-28.0
1000.0,6.3879148374397224e+16,2.446697208962274e+17,-1.8079057252183018e+17,-66756.31132871778,0.00225784575890331,1781304805939534.0,6822743772681414.0,-5041438966741880.0,-66756.29597966571,1880622731442029.2,6865583079564675.0,-4984960348122646.0,-65613.91606456552,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14173757953563.633,54288248979468.88,-40114491025905.25,-66756.29597966571,5894031118628.561,22575285249625.332,-16681254130996.771,-66756.29597966571,624000008000.0039,617257971755.6375,6742036244.366455,-28.0
1200.0,6.388103583344783e+16,2.4500064776034182e+17,-1.8111961192689398e+17,-66787.00811606011,0.0022579124722443764,1781357440310083.8,6831971842587722.0,-5050614402277638.0,-66786.99276833134,1880673941861460.8,6874717345427351.0,-4994043403565890.0,-65645.64122912602,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14171828278763.498,54352669243993.37,-40180840965229.87,-66786.99276833134,5893629885924.588,22603612571018.457,-16709982685093.87,-66786.99276833134,627200009600.0046,620423398793.9512,6776610806.053467,-28.0
1400.0,6.388281200746147e+16,2.4533199603525866e+17,-1.814491840277972e+17,-66817.70226046254,0.0022579752521509,1781406971422687.2,6841211663768791.0,-5059804692346104.0,-66817.6869143315,1880722003330464.0,6883862928909114.0,-5003140925578650.0,-65677.36288109813,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14169940638637.877,54417415406509.76,-40247474767871.88,-66817.6869143315,5893237366959.533,22632045826116.49,-16738808459156.955,-66817.6869143315,630400011200.0055,623588825832.2651,6811185367.740356,-28.0
1600.0,6.388448000535416e+16,2.456637660451608e+17,-1.8177928603980666e+17,-66848.39251901473,0.0022580342085093317,1781453485967012.0,6850463245249107.0,-5069009759282095.0,-66848.37717475522,1880767012501914.2,6893019879653839.0,-5012252867151925.0,-65709.07980381505,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14168088015099.002,54482458827828.94,-40314370812729.94,-66848.37717475522,5892852103978.2,22660578603924.914,-16767726499946.715,-66848.37717475522,633600012800.0062,626754252870.579,6845759929.427246,-28.0
1800.0,6.3886041989811816e+16,2.4599595885812707e+17,-1.8210991686831526e+17,-66879.07806757657,0.002258089417761066,1781497044183658.2,6859726616806089.0,-5078229572622431.0,-66879.06272630906,1880809057034939.2,6902188243957818.0,-5021379186922879.0,-65740.79089475753,120000000000000.0,118666520574994.69,1333479425005.328,0.0,14166267621404.014,54547787985734.79,-40381520364330.77,-66879.06272630906,5892473518829.581,22689208252075.695,-16796734733246.113,-66879.06272630906,636800014400.0071,629919679908.893,6880334491.114136,-28.0
