Time [kyr],C [mol/kyr],d13C [permil]
0,-1.52E+14,-28
1,-1.56E+14,-28
2,-1.60E+14,-28
3,-1.62E+14,-28
4,-1.61E+14,-28
5,-1.59E+14,-28
6,-1.49E+14,-28
7,-1.32E+14,-28
8,-1.34E+14,-28
9,-8.75E+13,-28
10,-4.57E+13,-28
11,2.08E+14,-28
12,5.54E+14,-28
13,5.88E+14,-28
14,5.22E+14,-28
15,4.77E+14,-28
16,5.14E+14,-28
17,6.51E+14,-28
18,5.05E+14,-28
19,3.42E+14,-28
20,-2.15E+13,-28
21,-2.50E+13,-28
22,-2.85E+13,-28
23,-3.02E+13,-28
24,-3.29E+13,-28
25,-3.61E+13,-28
26,-3.87E+13,-28
27,-4.24E+13,-28
28,-4.65E+13,-28
29,-4.93E+13,-28
30,-5.01E+13,-28
31,-4.56E+13,-28
32,-4.11E+13,-28
33,-3.58E+13,-28
34,-3.51E+13,-28
35,-3.66E+13,-28
36,-1.73E+13,-28
37,1.66E+13,-28
38,3.21E+13,-28
39,5.04E+13,-28
40,6.61E+13,-28
41,2.44E+14,-28
42,3.81E+14,-28
43,3.42E+14,-28
44,3.29E+14,-28
45,3.59E+14,-28
46,3.67E+14,-28
47,1.22E+14,-28
48,2.10E+13,-28
49,-9.81E+12,-28
50,-1.20E+13,-28
51,-1.28E+13,-28
52,-1.35E+13,-28
53,-1.43E+13,-28
54,-1.44E+13,-28
55,-1.00E+13,-28
56,-4.11E+12,-28
57,-6.33E+11,-28
58,1.15E+14,-28
59,3.35E+14,-28
60,5.09E+14,-28
61,8.18E+14,-28
62,9.89E+14,-28
63,9.13E+14,-28
64,7.74E+14,-28
65,5.84E+14,-28
66,4.74E+14,-28
67,3.78E+14,-28
68,1.68E+14,-28
69,-9.28E+12,-28
70,-2.50E+13,-28
71,-5.09E+13,-28
72,-7.78E+13,-28
73,-9.72E+13,-28
74,-1.21E+14,-28
75,-1.48E+14,-28
76,-1.75E+14,-28
77,-2.04E+14,-28
78,-2.30E+14,-28
79,-2.33E+14,-28
80,-2.33E+14,-28
81,-2.33E+14,-28
82,-2.33E+14,-28
83,-2.33E+14,-28
84,-1.90E+14,-28
85,-1.68E+14,-28
86,-1.69E+14,-28
87,-6.80E+13,-28
88,5.13E+13,-28
89,1.36E+14,-28
90,1.81E+14,-28
91,2.53E+14,-28
92,2.70E+14,-28
93,1.34E+14,-28
94,3.63E+13,-28
95,-5.08E+13,-28
96,-7.82E+13,-28
97,-8.62E+13,-28
98,-9.67E+13,-28
99,-1.05E+14,-28
100,-1.11E+14,-28
101,-1.14E+14,-28
102,-1.19E+14,-28
103,-1.24E+14,-28
104,-1.26E+14,-28
105,-1.28E+14,-28
106,-1.30E+14,-28
107,-1.30E+14,-28
108,-1.30E+14,-28
109,-1.24E+14,-28
110,-9.97E+13,-28
111,-6.01E+13,-28
112,-6.44E+13,-28
113,-6.78E+13,-28
114,-5.02E+13,-28
115,-3.87E+13,-28
116,-6.89E+13,-28
117,-9.96E+13,-28
118,-1.04E+14,-28
119,-1.11E+14,-28
120,-1.19E+14,-28
121,-1.24E+14,-28
122,-1.24E+14,-28
123,-1.18E+14,-28
124,-1.05E+14,-28
125,-7.74E+13,-28
126,-5.31E+13,-28
127,-2.49E+13,-28
128,1.55E+14,-28
129,2.19E+14,-28
130,3.05E+14,-28
131,4.91E+14,-28
132,5.04E+14,-28
133,4.37E+14,-28
134,3.40E+14,-28
135,2.76E+14,-28
136,2.44E+14,-28
137,7.58E+13,-28
138,-2.88E+13,-28
139,5.90E+13,-28
140,2.44E+13,-28
141,-2.69E+13,-28
142,-2.67E+13,-28
143,-2.87E+13,-28
144,-3.16E+13,-28
145,-3.38E+13,-28
146,-3.68E+13,-28
147,-4.00E+13,-28
148,-4.18E+13,-28
149,-4.29E+13,-28
150,-4.44E+13,-28
151,-4.52E+13,-28
152,-4.57E+13,-28
153,-4.57E+13,-28
154,-4.27E+13,-28
155,-4.32E+13,-28
156,-4.49E+13,-28
157,-4.55E+13,-28
158,-4.35E+13,-28
159,-3.38E+13,-28
160,-2.50E+13,-28
161,-1.38E+13,-28
162,-1.29E+13,-28
163,-3.48E+12,-28
164,-1.01E+13,-28
165,-2.64E+12,-28
166,8.86E+12,-28
167,9.18E+12,-28
168,3.25E+13,-28
169,1.21E+14,-28
170,1.58E+14,-28
171,1.78E+14,-28
172,2.02E+14,-28
173,2.84E+14,-28
174,3.39E+14,-28
175,3.34E+14,-28
176,3.36E+14,-28
177,3.97E+14,-28
178,4.08E+14,-28
179,4.33E+14,-28
180,3.95E+14,-28
181,4.22E+14,-28
182,4.81E+14,-28
183,4.88E+14,-28
184,4.21E+14,-28
185,3.09E+14,-28
186,1.07E+14,-28
187,-9.28E+12,-28
188,-2.25E+13,-28
189,-3.94E+13,-28
190,-6.16E+13,-28
191,-8.73E+13,-28
192,-1.25E+14,-28
193,-1.50E+14,-28
194,-1.72E+14,-28
195,-1.84E+14,-28
196,-1.92E+14,-28
197,-1.99E+14,-28
198,-2.06E+14,-28
199,-2.10E+14,-28
200,-2.15E+14,-28
